#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
31508238	Spipo0G0001200	Spipo0G0001200	Spipo0G0001200	PF07687,PF01546	PTHR11014,PTHR11014:SF103			K14664	GO:0016787,GO:0008152	AT3G02875.1	ILR1	Peptidase M20/M25/M40 family protein	LOC_Os07g14590.1		hydrolase, putative, expressed
31508130	Spipo0G0001300	Spipo0G0001300	Spipo0G0001300	PF13041,PF01535	PTHR24015,PTHR24015:SF139					AT5G37570.1		Pentatricopeptide repeat (PPR-like) superfamily protein	LOC_Os04g33840.1		pentatricopeptide, putative, expressed
31509040	Spipo0G0001400	Spipo0G0001400	Spipo0G0001400	PF13906,PF13520	PTHR11785,PTHR11785:SF331	KOG1286			GO:0016020,GO:0015171,GO:0003333	AT5G04770.1	ATCAT6,CAT6	cationic amino acid transporter 6	LOC_Os11g05690.2		amino acid permease family protein, putative, expressed
31509221	Spipo0G0001500	Spipo0G0001500	Spipo0G0001500	PF00432	PTHR11774,PTHR11774:SF11		2.5.1.60	K05956	GO:0003824	AT3G12070.2	AtRGTB2,RGTB2	RAB geranylgeranyl transferase beta subunit 2	LOC_Os08g40140.1		geranylgeranyl transferase type-2 subunit beta, putative, expressed
31508941	Spipo0G0001600	Spipo0G0001600	Spipo0G0001600	PF04535	PTHR11615,PTHR11615:SF116					AT2G27370.1		Uncharacterised protein family (UPF0497)	LOC_Os08g01160.1		membrane associated DUF588 domain containing protein, putative, expressed
31507814	Spipo0G0001700	Spipo0G0001700	Spipo0G0001700	PF00206	PTHR11444,PTHR11444:SF17		4.3.2.2	K01756		AT4G18440.1		L-Aspartase-like family protein	LOC_Os03g19930.1		adenylosuccinate lyase, putative, expressed
31508565	Spipo0G0001800	Spipo0G0001800	Spipo0G0001800	PF00160	PTHR11071,PTHR11071:SF270	KOG0881	5.2.1.8	K12733	GO:0006457,GO:0003755,GO:0000413	AT2G36130.1		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	LOC_Os08g44520.3		peptidyl-prolyl cis-trans isomerase, putative, expressed
31507761	Spipo0G0001900	Spipo0G0001900	Spipo0G0001900	PF02365	PTHR31989,PTHR31989:SF33				GO:0006355,GO:0003677	AT5G22380.1	anac090,NAC090	NAC domain containing protein 90	LOC_Os11g05614.1		no apical meristem protein, putative, expressed
31509399	Spipo0G0002000	Spipo0G0002000	Spipo0G0002000		PTHR36352					AT2G36145.1			LOC_Os01g64270.1		expressed protein
31508138	Spipo0G0002100	Spipo0G0002100	Spipo0G0002100	PF11976,PF01020	PTHR10666	KOG0003		K02927	GO:0006412,GO:0005840,GO:0003735	AT3G52590.1	EMB2167,ERD16,HAP4,UBQ1	ubiquitin extension protein 1	LOC_Os03g13170.1		ubiquitin fusion protein, putative, expressed
31507885	Spipo0G0002200	Spipo0G0002200	Spipo0G0002200	PF08244,PF00251	PTHR31953		3.2.1.26	K01193		AT2G36190.1	AtcwINV4,cwINV4	cell wall invertase 4	LOC_Os04g33720.1		glycosyl hydrolases, putative, expressed
31507528	Spipo0G0002300	Spipo0G0002300	Spipo0G0002300												
31509233	Spipo0G0002400	Spipo0G0002400	Spipo0G0002400		PTHR24115,PTHR24115:SF536				GO:0007018,GO:0005871,GO:0003777	AT2G36200.2		P-loop containing nucleoside triphosphate hydrolases superfamily protein	LOC_Os08g44420.1		kinesin-related protein, putative, expressed
31509107	Spipo0G0002500	Spipo0G0002500	Spipo0G0002500	PF00225	PTHR24115,PTHR24115:SF536	KOG4280	3.6.4.4		GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	AT2G36200.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	LOC_Os05g02670.1		kinesin motor domain containing protein, putative, expressed
31508532	Spipo0G0002600	Spipo0G0002600	Spipo0G0002600	PF01535,PF13041	PTHR24015,PTHR24015:SF724					AT1G22960.1		Pentatricopeptide repeat (PPR) superfamily protein	LOC_Os12g05640.1		pentatricopeptide containing protein, putative, expressed
31507660	Spipo0G0002700	Spipo0G0002700	Spipo0G0002700		PTHR22952,PTHR22952:SF119					AT3G19290.1	ABF4,AREB2	ABRE binding factor 4	LOC_Os01g64000.3		bZIP transcription factor, putative, expressed
31508968	Spipo0G0002800	Spipo0G0002800	Spipo0G0002800		PTHR31115					AT4G29790.1			LOC_Os01g73620.1		expressed protein
31508129	Spipo0G0002900	Spipo0G0002900	Spipo0G0002900	PF00453	PTHR10986	KOG4707		K02887	GO:0019843,GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT1G16740.1		Ribosomal protein L20	LOC_Os05g45220.1		50S ribosomal protein L20, putative, expressed
31508450	Spipo0G0003000	Spipo0G0003000	Spipo0G0003000	PF01521	PTHR10072,PTHR10072:SF51	KOG1120		K13628		AT2G16710.1		Iron-sulphur cluster biosynthesis family protein	LOC_Os12g30030.1		IscA-like iron-sulfur assembly protein, mitochondrial precursor, putative, expressed
31507647	Spipo0G0003100	Spipo0G0003100	Spipo0G0003100		PTHR34207					AT3G52740.1			LOC_Os04g33610.1		expressed protein
31507741	Spipo0G0003200	Spipo0G0003200	Spipo0G0003200	PF00889	PTHR11741	KOG1071			GO:0006414,GO:0005622,GO:0003746	AT4G11120.1		translation elongation factor Ts (EF-Ts), putative	LOC_Os12g35630.1		elongation factor TS family protein, expressed
31507798	Spipo0G0003300	Spipo0G0003300	Spipo0G0003300	PF05365	PTHR12980,PTHR12980:SF0	KOG3494		K00419	GO:0006122,GO:0005750,GO:0005743	AT3G52730.1		ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein	LOC_Os05g33210.2		cytochrome b-c1 complex subunit 9, putative, expressed
31508594	Spipo0G0003400	Spipo0G0003400	Spipo0G0003400	PF01521	PTHR10072,PTHR10072:SF46	KOG1119				AT5G03905.1		Iron-sulphur cluster biosynthesis family protein	LOC_Os08g28230.1		IscA-like iron-sulfur assembly protein, mitochondrial precursor, putative, expressed
31507937	Spipo0G0003500	Spipo0G0003500	Spipo0G0003500	PF00332	PTHR32227,PTHR32227:SF70		3.2.1.39		GO:0005975,GO:0004553	AT2G27500.1		Glycosyl hydrolase superfamily protein	LOC_Os01g64170.3		glycosyl hydrolases family 17, putative, expressed
31508623	Spipo0G0003600	Spipo0G0003600	Spipo0G0003600	PF00111	PTHR19370,PTHR19370:SF124			K02639	GO:0051536,GO:0009055	AT2G27510.1	ATFD3,FD3	ferredoxin 3	LOC_Os05g37140.2		2Fe-2S iron-sulfur cluster binding domain containing protein, expressed
31507796	Spipo0G0003700	Spipo0G0003700	Spipo0G0003700		PTHR10072,PTHR10072:SF43					AT5G03900.2		Iron-sulphur cluster biosynthesis family protein	LOC_Os02g33010.1		expressed protein
31507541	Spipo0G0003800	Spipo0G0003800	Spipo0G0003800	PF04832	PTHR11220,PTHR11220:SF22					AT3G10130.1		SOUL heme-binding family protein	LOC_Os02g33020.1		SOUL heme-binding protein, putative, expressed
31508244	Spipo0G0003900	Spipo0G0003900	Spipo0G0003900	PF13405	PTHR10183,PTHR10183:SF299	KOG0037		K13448	GO:0005509	AT3G10300.3		Calcium-binding EF-hand family protein	LOC_Os08g44390.2		EF hand family protein, putative, expressed
31508774	Spipo0G0004000	Spipo0G0004000	Spipo0G0004000		PTHR34120		2.7.11.17			AT2G36220.1			LOC_Os11g05530.1		expressed protein
31507497	Spipo0G0004100	Spipo0G0004100	Spipo0G0004100	PF04810,PF04815,PF04811	PTHR13803,PTHR13803:SF10				GO:0030127,GO:0008270,GO:0006888,GO:0006886	AT2G27460.1		sec23/sec24 transport family protein	LOC_Os05g37120.1		sec23/Sec24 zinc finger family protein, expressed
31509264	Spipo0G0004200	Spipo0G0004200	Spipo0G0004200	PF01535	PTHR24015					AT3G57430.1	OTP84	Tetratricopeptide repeat (TPR)-like superfamily protein	LOC_Os06g02200.1		pentatricopeptide, putative, expressed
31508456	Spipo0G0004300	Spipo0G0004300	Spipo0G0004300	PF01585,PF00076	PTHR13948,PTHR13948:SF3	KOG0154		K13094	GO:0003676	AT3G54230.2	SUA	suppressor of abi3-5	LOC_Os02g07070.1		RNA recognition motif family protein, expressed
31508333	Spipo0G0004400	Spipo0G0004400	Spipo0G0004400	PF03297	PTHR12850	KOG1767		K02975		AT4G39200.1		Ribosomal protein S25 family protein	LOC_Os08g44480.1		40S ribosomal protein S25, putative, expressed
31508502	Spipo0G0004500	Spipo0G0004500	Spipo0G0004500		PTHR33878,PTHR33878:SF1					AT2G27730.1		copper ion binding	LOC_Os09g39550.1		expressed protein
31508472	Spipo0G0004600	Spipo0G0004600	Spipo0G0004600	PF01656,PF02881,PF02978	PTHR11564,PTHR11564:SF19		3.6.5.4	K03106	GO:0006614,GO:0005525,GO:0048500,GO:0008312	AT5G03940.1	54CP,CPSRP54,FFC,SRP54CP	chloroplast signal recognition particle 54 kDa subunit	LOC_Os11g05556.1		signal recognition particle 54 kDa protein, putative, expressed
31507784	Spipo0G0004700	Spipo0G0004700	Spipo0G0004700	PF01871	PTHR13016	KOG3274				AT2G38710.1		AMMECR1 family	LOC_Os10g42250.2		expressed protein
31508527	Spipo0G0004800	Spipo0G0004800	Spipo0G0004800				4.3.2.2			AT4G18440.1		L-Aspartase-like family protein	LOC_Os03g19930.1		adenylosuccinate lyase, putative, expressed
31507651	Spipo0G0004900	Spipo0G0004900	Spipo0G0004900	PF00249	PTHR12374,PTHR12374:SF26					AT2G38090.1		Duplicated homeodomain-like superfamily protein	LOC_Os08g05510.1		MYB family transcription factor, putative, expressed
31509169	Spipo0G0005000	Spipo0G0005000	Spipo0G0005000	PF00795	PTHR23088,PTHR23088:SF26	KOG0806	3.5.1.53	K12251	GO:0016810,GO:0006807	AT2G27450.1	ATNLP1,CPA,NLP1	nitrilase-like protein 1	LOC_Os02g33080.1		N-carbamoylputrescine amidase, putative, expressed
31507872	Spipo0G0005100	Spipo0G0005100	Spipo0G0005100	PF00786,PF00620	PTHR23177,PTHR23177:SF24				GO:0007165	AT5G22400.1		Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	LOC_Os11g05540.1		rhoGAP domain containing protein, expressed
31509374	Spipo0G0005200	Spipo0G0005200	Spipo0G0005200	PF13812,PF01535,PF12854,PF13041	PTHR24015					AT1G05670.1		Pentatricopeptide repeat (PPR-like) superfamily protein	LOC_Os04g40010.1		PPR repeat domain containing protein, putative, expressed
31508374	Spipo0G0005300	Spipo0G0005300	Spipo0G0005300	PF13041	PTHR24015					AT3G20730.1		Tetratricopeptide repeat (TPR)-like superfamily protein	LOC_Os04g53630.1		pentatricopeptide, putative, expressed
31508535	Spipo0G0005400	Spipo0G0005400	Spipo0G0005400	PF01758	PTHR18640,PTHR18640:SF9	KOG4821		K14347	GO:0016020	AT3G56160.1		Sodium Bile acid symporter family	LOC_Os02g32930.1		bile acid sodium symporter, putative, expressed
31507656	Spipo0G0005500	Spipo0G0005500	Spipo0G0005500	PF00644	PTHR10459,PTHR10459:SF54		2.4.2.30	K10798	GO:0003950	AT5G22470.1		NAD+ ADP-ribosyltransferases;NAD+ ADP-ribosyltransferases	LOC_Os02g32860.1		poly synthetase 3, putative, expressed
31507552	Spipo0G0005600	Spipo0G0005600	Spipo0G0005600		PTHR33601,PTHR33601:SF4					AT3G52770.1	ZPR3	protein binding	LOC_Os04g33560.1		expressed protein
31508339	Spipo0G0005700	Spipo0G0005700	Spipo0G0005700	PF00777	PTHR13713,PTHR13713:SF54	KOG2692	2.4.99.4		GO:0008373,GO:0006486	AT1G08280.1		Glycosyltransferase family 29 (sialyltransferase) family protein	LOC_Os01g63970.1		sialyltransferase family domain containing protein, expressed
31507498	Spipo0G0005800	Spipo0G0005800	Spipo0G0005800	PF16656,PF14008,PF00149	PTHR22953,PTHR22953:SF38	KOG1378	3.1.3.2		GO:0016787	AT3G52780.1	ATPAP20,PAP20	Purple acid phosphatases superfamily protein	LOC_Os12g05540.1		Ser/Thr protein phosphatase family protein, putative, expressed
31507537	Spipo0G0005900	Spipo0G0005900	Spipo0G0005900	PF07690	PTHR23504,PTHR23504:SF35	KOG2816			GO:0055085,GO:0016021	AT2G16980.2		Major facilitator superfamily protein	LOC_Os11g05390.1		transporter, major facilitator family, putative, expressed
31508756	Spipo0G0006000	Spipo0G0006000	Spipo0G0006000	PF01428,PF01754	PTHR10634,PTHR10634:SF38	KOG3173			GO:0008270,GO:0003677	AT1G12440.1		A20/AN1-like zinc finger family protein	LOC_Os02g10200.1		zinc finger A20 and AN1 domain-containing stress-associated protein, putative, expressed
31507989	Spipo0G0006100	Spipo0G0006100	Spipo0G0006100		PTHR37211,PTHR37211:SF1					AT2G27590.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	LOC_Os01g63950.1		expressed protein
31508819	Spipo0G0006200	Spipo0G0006200	Spipo0G0006200	PF01156	PTHR12304,PTHR12304:SF1	KOG2938	3.2.2.3,3.2.2.2	K01240		AT2G36310.1	URH1	uridine-ribohydrolase 1	LOC_Os08g44370.1		inosine-uridine preferring nucleoside hydrolase family protein, putative, expressed
31507731	Spipo0G0006300	Spipo0G0006300	Spipo0G0006300	PF14432,PF01535,PF13041	PTHR24015,PTHR24015:SF32					AT2G27610.1		Tetratricopeptide repeat (TPR)-like superfamily protein	LOC_Os05g38190.2		pentatricopeptide, putative, expressed
31508447	Spipo0G0006400	Spipo0G0006400	Spipo0G0006400	PF00657	PTHR22835,PTHR22835:SF216		3.1.1.1		GO:0016788	AT5G03610.1		GDSL-like Lipase/Acylhydrolase superfamily protein	LOC_Os04g55660.1		GDSL-like lipase/acylhydrolase, putative, expressed
31507503	Spipo0G0006500	Spipo0G0006500	Spipo0G0006500	PF00400,PF07569	PTHR13831,PTHR13831:SF0			K11293	GO:0005515,GO:0006355,GO:0005634,GO:0016568,GO:0006351	AT3G44530.2	HIRA	homolog of histone chaperone HIRA	LOC_Os09g39420.1		WD domain, G-beta repeat domain containing protein, expressed
31507762	Spipo0G0006600	Spipo0G0006600	Spipo0G0006600	PF03015,PF07993	PTHR11011,PTHR11011:SF25	KOG1221	1.2.1.84	K13356	GO:0080019	AT4G33790.1	CER4,FAR3,G7	Jojoba acyl CoA reductase-related male sterility protein	LOC_Os08g20200.1		male sterility protein, putative, expressed
31507930	Spipo0G0006700	Spipo0G0006700	Spipo0G0006700	PF07993	PTHR11011,PTHR11011:SF25		1.2.1.50,1.2.1.42,1.2.1.84		GO:0080019	AT5G22500.1	FAR1	fatty acid reductase 1	LOC_Os04g28680.1		male sterility protein, putative, expressed
31508564	Spipo0G0006800	Spipo0G0006800	Spipo0G0006800	PF11977	PTHR13547,PTHR13547:SF2		3.1.26.5	K18213		AT4G21900.1	PRORP3	proteinaceous RNase P 3	LOC_Os01g73690.1		pentatricopeptide, putative, expressed
31508145	Spipo0G0006900	Spipo0G0006900	Spipo0G0006900	PF06830	PTHR31656,PTHR31656:SF0					AT3G19430.1		late embryogenesis abundant protein-related / LEA protein-related	LOC_Os05g47940.1		RCLEA8 - Root cap and Late embryogenesis related family protein precursor, expressed
31509354	Spipo0G0007000	Spipo0G0007000	Spipo0G0007000	PF00403	PTHR22814,PTHR22814:SF73			K07213	GO:0046872,GO:0030001	AT3G56240.1	CCH	copper chaperone	LOC_Os02g32814.1		heavy metal-associated domain containing protein, expressed
31508731	Spipo0G0007100	Spipo0G0007100	Spipo0G0007100	PF01627	PTHR28242,PTHR28242:SF6	KOG4747		K14490	GO:0004871,GO:0000160	AT5G39340.1	AHP3,ATHP2	histidine-containing phosphotransmitter 3	LOC_Os09g39400.1		histidine-containing phosphotransfer protein, putative, expressed
31507519	Spipo0G0007200	Spipo0G0007200	Spipo0G0007200	PF00400	PTHR22850,PTHR22850:SF2			K10570	GO:0005515	AT1G27840.3	ATCSA-1	Transducin/WD40 repeat-like superfamily protein	LOC_Os02g20430.1		WD domain, G-beta repeat domain containing protein, expressed
31508086	Spipo0G0007300	Spipo0G0007300	Spipo0G0007300		PTHR31250,PTHR31250:SF10					AT3G52870.1		IQ calmodulin-binding motif family protein	LOC_Os12g05420.1		calmodulin-binding protein, putative, expressed
31507740	Spipo0G0007400	Spipo0G0007400	Spipo0G0007400	PF00136,PF03104,PF08490	PTHR10670		2.7.7.7	K02324	GO:0003677,GO:0000166,GO:0008408,GO:0008270,GO:0006260,GO:0005634,GO:0003887	AT1G08260.1	ABO4,EMB142,EMB2284,EMB529,ESD7,POL2A,TIL1	DNA polymerase epsilon catalytic subunit	LOC_Os02g30800.1		POLE1 - Putative DNA polymerase epsilon catalytic subunit, expressed
31508937	Spipo0G0007500	Spipo0G0007500	Spipo0G0007500	PF07714,PF00069	PTHR24351,PTHR24351:SF104		2.7.11.1		GO:0006468,GO:0004672,GO:0005524	AT3G44610.1		Protein kinase superfamily protein	LOC_Os11g05320.1		AGC_PVPK_like_kin82y.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed
31509033	Spipo0G0007600	Spipo0G0007600	Spipo0G0007600	PF07714,PF00069	PTHR24351,PTHR24351:SF73		2.7.11.1		GO:0006468,GO:0004672,GO:0005524	AT3G52890.2	KIPK	KCBP-interacting protein kinase	LOC_Os12g29580.1		AGC_PVPK_like_kin82y.19 - ACG kinases include homologs to PKA, PKG and PKC, expressed
31509362	Spipo0G0007700	Spipo0G0007700	Spipo0G0007700	PF12899	PTHR31916,PTHR31916:SF2				GO:0033926	AT5G22510.1	At-A/N-InvE,INV-E	alkaline/neutral invertase	LOC_Os02g32730.1		neutral/alkaline invertase, putative, expressed
31507747	Spipo0G0007800	Spipo0G0007800	Spipo0G0007800	PF00850	PTHR10625,PTHR10625:SF124		3.5.1.98	K06067		AT3G44680.1	HDA09,HDA9	histone deacetylase 9	LOC_Os04g33480.1		histone deacetylase, putative, expressed
31507993	Spipo0G0007900	Spipo0G0007900	Spipo0G0007900		PTHR24006,PTHR24006:SF453					AT2G36370.1		ubiquitin-protein ligases	LOC_Os01g73750.1		Leucine Rich Repeat family protein, expressed
31508291	Spipo0G0008000	Spipo0G0008000	Spipo0G0008000	PF01535,PF03161	PTHR24015,PTHR24015:SF899				GO:0004519	AT2G15820.1	OTP51	endonucleases	LOC_Os02g47360.1		PPR repeat domain containing protein, putative, expressed
31508385	Spipo0G0008100	Spipo0G0008100	Spipo0G0008100	PF00128,PF02922,PF02806	PTHR10357,PTHR10357:SF141		2.4.1.18	K00700	GO:0043169,GO:0005975,GO:0003824,GO:0004553	AT5G03650.1	SBE2.2	starch branching enzyme 2.2	LOC_Os02g32660.1		1,4-alpha-glucan-branching enzyme, chloroplast precursor, putative, expressed
31509006	Spipo0G0008200	Spipo0G0008200	Spipo0G0008200	PF03468	PTHR21596,PTHR21596:SF14				GO:0031047	AT3G22430.1			LOC_Os11g37070.1		expressed protein
31508352	Spipo0G0008300	Spipo0G0008300	Spipo0G0008300	PF13415	PTHR23244,PTHR23244:SF262					AT2G36360.3		Galactose oxidase/kelch repeat superfamily protein	LOC_Os03g61950.1		kelch motif family protein, putative, expressed
31507533	Spipo0G0008400	Spipo0G0008400	Spipo0G0008400		PTHR33623,PTHR33623:SF5										
31508128	Spipo0G0008500	Spipo0G0008500	Spipo0G0008500		PTHR33701,PTHR33701:SF3					AT3G52240.1			LOC_Os04g55280.1		expressed protein
31507636	Spipo0G0008600	Spipo0G0008600	Spipo0G0008600	PF01715	PTHR11088,PTHR11088:SF26	KOG1384	2.5.1.27,2.5.1.75	K00791	GO:0008033	AT2G27760.1	ATIPT2,IPPT,IPT2	tRNAisopentenyltransferase 2	LOC_Os01g73760.1		IPP transferase, putative, expressed
31508221	Spipo0G0008700	Spipo0G0008700	Spipo0G0008700	PF00201	PTHR11926,PTHR11926:SF342				GO:0016758,GO:0008152	AT5G65550.1		UDP-Glycosyltransferase superfamily protein	LOC_Os07g47550.1		glucosyltransferase, putative, expressed
31509104	Spipo0G0008800	Spipo0G0008800	Spipo0G0008800		PTHR21654,PTHR21654:SF5					AT3G10000.1	EDA31	Homeodomain-like superfamily protein	LOC_Os03g02240.1		AT-GTL1, putative, expressed
31509392	Spipo0G0008900	Spipo0G0008900	Spipo0G0008900	PF13837	PTHR21654,PTHR21654:SF5					AT5G03680.1	PTL	Duplicated homeodomain-like superfamily protein	LOC_Os03g02240.1		AT-GTL1, putative, expressed
31508616	Spipo0G0009000	Spipo0G0009000	Spipo0G0009000	PF00274	PTHR11627		4.1.2.13	K01623	GO:0006096,GO:0004332	AT2G36460.1		Aldolase superfamily protein	LOC_Os01g67860.1		fructose-bisphospate aldolase isozyme, putative, expressed
31508239	Spipo0G0009100	Spipo0G0009100	Spipo0G0009100	PF05910	PTHR31972,PTHR31972:SF10					AT2G27770.1		Plant protein of unknown function (DUF868)	LOC_Os03g59200.1		expressed protein
31509334	Spipo0G0009200	Spipo0G0009200	Spipo0G0009200	PF03405	PTHR31155		1.14.19.2	K03921	GO:0055114,GO:0045300,GO:0006631	AT2G43710.1	FAB2,SSI2	Plant stearoyl-acyl-carrier-protein desaturase family protein	LOC_Os04g31070.1		acyl-desaturase, chloroplast precursor, putative, expressed
31507568	Spipo0G0009300	Spipo0G0009300	Spipo0G0009300	PF00300	PTHR23029,PTHR23029:SF43	KOG0235	3.1.3.63	K15634		AT5G22620.2		phosphoglycerate/bisphosphoglycerate mutase family protein	LOC_Os11g05260.1		phosphoglycerate mutase, putative, expressed
31508955	Spipo0G0009400	Spipo0G0009400	Spipo0G0009400		PTHR36789					AT4G40045.1			LOC_Os12g10510.2		expressed protein
31508763	Spipo0G0009500	Spipo0G0009500	Spipo0G0009500	PF00954,PF01453	PTHR11795,PTHR11795:SF378				GO:0048544	AT5G03700.1		D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	LOC_Os02g32620.1		PAN domain-containing protein At5g03700 precursor, putative, expressed
31508534	Spipo0G0009600	Spipo0G0009600	Spipo0G0009600				2.1.1.43			AT4G27910.1	ATX4,SDG16	SET domain protein 16	LOC_Os01g46700.1		SET domain containing protein, expressed
31508723	Spipo0G0009700	Spipo0G0009700	Spipo0G0009700	PF14381,PF07714	PTHR23257,PTHR23257:SF384	KOG0192	2.7.11.1	K14510	GO:0006468,GO:0004672	AT5G03730.2	AtCTR1,CTR1,SIS1	Protein kinase superfamily protein	LOC_Os02g32610.3		protein kinase domain containing protein, expressed
31509230	Spipo0G0009800	Spipo0G0009800	Spipo0G0009800	PF06404					GO:0008283,GO:0008083,GO:0005576						
31507783	Spipo0G0009900	Spipo0G0009900	Spipo0G0009900	PF00800	PTHR21022,PTHR21022:SF5		4.2.1.91	K05359	GO:0009094,GO:0004664	AT1G08250.1	ADT6	arogenate dehydratase 6	LOC_Os04g33390.1		prephenate dehydratase domain containing protein, expressed
31507571	Spipo0G0010000	Spipo0G0010000	Spipo0G0010000		PTHR33270,PTHR33270:SF3					AT2G27830.1			LOC_Os04g33310.1		expressed protein
31508410	Spipo0G0010100	Spipo0G0010100	Spipo0G0010100	PF00578	PTHR10430,PTHR10430:SF15	KOG0541	1.11.1.15		GO:0055114,GO:0016491,GO:0016209	AT3G52960.1		Thioredoxin superfamily protein	LOC_Os02g09940.1		peroxiredoxin, putative, expressed
31507720	Spipo0G0010200	Spipo0G0010200	Spipo0G0010200	PF13632	PTHR32044		2.4.1.32	K13680		AT5G03760.1	ATCSLA09,ATCSLA9,CSLA09,CSLA9,RAT4	Nucleotide-diphospho-sugar transferases superfamily protein	LOC_Os06g42020.1		CSLA9 - cellulose synthase-like family A, expressed
31508171	Spipo0G0010300	Spipo0G0010300	Spipo0G0010300	PF00270	PTHR24031,PTHR24031:SF283		3.6.4.13		GO:0005524,GO:0003676	AT2G28600.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	LOC_Os12g05230.1		ATP-dependent RNA helicase, putative, expressed
31508710	Spipo0G0010400	Spipo0G0010400	Spipo0G0010400		PTHR12626,PTHR12626:SF7					AT3G10020.1			LOC_Os12g05210.1		expressed protein
31508673	Spipo0G0010500	Spipo0G0010500	Spipo0G0010500										LOC_Os12g05200.1		DNA binding protein, putative, expressed
31507876	Spipo0G0010600	Spipo0G0010600	Spipo0G0010600	PF03479	PTHR31500					AT4G12080.1	AHL1,ATAHL1	AT-hook motif nuclear-localized protein 1	LOC_Os11g05160.1		DNA binding protein, putative, expressed
31507605	Spipo0G0010700	Spipo0G0010700	Spipo0G0010700	PF11961,PF05003	PTHR31371					AT5G04550.1		Protein of unknown function (DUF668)	LOC_Os12g05180.1		avr9/Cf-9 rapidly elicited protein, putative, expressed
