#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
16798227	27394.t000015	27394.m000354	27394.m000354	PF14008,PF00149,PF16656	PTHR22953,PTHR22953:SF13	KOG1378	1.11.1.7,3.1.3.2		GO:0016787	AT5G34850.1	ATPAP26,PAP26	purple acid phosphatase 26
16798228	27394.t000016	27394.m000355	27394.m000355		PTHR33191							
16798229	27394.t000017	27394.m000356	27394.m000356	PF16656,PF14008,PF00149	PTHR22953,PTHR22953:SF13	KOG1378	3.1.3.41,3.1.3.2,3.1.3.60		GO:0016787	AT5G34850.1	ATPAP26,PAP26	purple acid phosphatase 26
16798230	27394.t000018	27394.m000357	27394.m000357	PF17047,PF00168	PTHR10774,PTHR10774:SF91	KOG1328			GO:0005515	AT1G05500.1	ATSYTE,NTMC2T2.1,NTMC2TYPE2.1,SYT5,SYTE	Calcium-dependent lipid-binding (CaLB domain) family protein
16798231	27394.t000019	27394.m000358	27394.m000358	PF00571,PF00654	PTHR11689,PTHR11689:SF66			K05016	GO:0055085,GO:0016020,GO:0006821,GO:0005247	AT5G33280.1		Voltage-gated chloride channel family protein
16798232	27394.t000020	27394.m000359	27394.m000359									
16798233	27394.t000021	27394.m000360	27394.m000360	PF03936	PTHR31225,PTHR31225:SF3		4.2.3.106		GO:0016829,GO:0010333,GO:0000287	AT4G16740.1	ATTPS03,TPS03	terpene synthase 03
16798234	27394.t000022	27394.m000361	27394.m000361	PF07714	PTHR27003,PTHR27003:SF28	KOG1187	2.7.11.1	K04733	GO:0006468,GO:0004672	AT2G11520.1	CRCK3	calmodulin-binding receptor-like cytoplasmic kinase 3
16798235	27395.t000001	27395.m000079	27395.m000079	PF00886	PTHR12919			K02959	GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT5G56940.1		Ribosomal protein S16 family protein
16798236	27395.t000002	27395.m000080	27395.m000080	PF00240,PF13423	PTHR24006		3.4.19.12	K11843	GO:0005515	AT3G21280.1	UBP7	ubiquitin-specific protease 7
16798237	27395.t000003	27395.m000081	27395.m000081	PF02701	PTHR31992,PTHR31992:SF23				GO:0006355,GO:0003677	AT1G51700.1	ADOF1,DOF1	DOF zinc finger protein 1
16798238	27395.t000004	27395.m000082	27395.m000082	PF04718	PTHR12386,PTHR12386:SF14	KOG4103		K02140	GO:0015986,GO:0015078,GO:0000276	AT2G19680.2		Mitochondrial ATP synthase subunit G protein
16798239	27395.t000005	27395.m000083	27395.m000083		PTHR11871,PTHR11871:SF11			K04354	GO:0008601,GO:0000159	AT1G17720.1	ATB BETA	Protein phosphatase 2A, regulatory subunit PR55
16798240	27397.t000001	27397.m000065	27397.m000065									
16798241	27398.t000001	27398.m000132	27398.m000132	PF02321	PTHR30203,PTHR30203:SF3				GO:0006810,GO:0005215			
16798242	27398.t000002	27398.m000133	27398.m000133	PF01475					GO:0006355,GO:0003700			
16798243	27398.t000003	27398.m000134	27398.m000134	PF07883,PF12833	PTHR11019,PTHR11019:SF66				GO:0043565,GO:0006355,GO:0003700			
16798244	27398.t000004	27398.m000135	27398.m000135									
16798245	27398.t000005	27398.m000136	27398.m000136									
16798246	27401.t000001	27401.m000275	27401.m000275	PF03171,PF14226	PTHR10209,PTHR10209:SF214	KOG0143	1.14.17.4		GO:0055114,GO:0016491	AT4G16770.1		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
16798247	27401.t000002	27401.m000276	27401.m000276	PF13934	PTHR10044,PTHR10044:SF129			K16278		AT2G39810.1	HOS1	ubiquitin-protein ligases
16798248	27401.t000003	27401.m000277	27401.m000277	PF02519					GO:0009733			
16798249	27401.t000004	27401.m000278	27401.m000278	PF07797	PTHR33130,PTHR33130:SF10					AT4G17440.1		Protein of unknown function (DUF1639)
16798250	27401.t000006	27401.m000280	27401.m000280	PF00046,PF04618	PTHR24326,PTHR24326:SF140			K09338	GO:0003677,GO:0005634	AT4G17460.1	HAT1	Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein
16798251	27401.t000007	27401.m000281	27401.m000281									
16798252	27401.t000008	27401.m000282	27401.m000282	PF05553	PTHR34059,PTHR34059:SF4					AT4G16790.1		hydroxyproline-rich glycoprotein family protein
16798253	27401.t000009	27401.m000283	27401.m000283	PF01535,PF13041	PTHR24015,PTHR24015:SF719					AT5G47360.1		Tetratricopeptide repeat (TPR)-like superfamily protein
16798254	27401.t000010	27401.m000284	27401.m000284	PF00782	PTHR10159,PTHR10159:SF358	KOG1719	3.1.3.16,3.1.3.27,3.1.3.48		GO:0008138,GO:0006470	AT2G35680.1		Phosphotyrosine protein phosphatases superfamily protein
16798255	27401.t000011	27401.m000285	27401.m000285	PF02089	PTHR11247,PTHR11247:SF26	KOG2541	3.1.2.22	K01074	GO:0098599	AT3G60340.1		alpha/beta-Hydrolases superfamily protein
16798256	27401.t000012	27401.m000286	27401.m000286		PTHR27009,PTHR27009:SF18					AT2G25410.1		RING/U-box superfamily protein
16798257	27401.t000013	27401.m000287	27401.m000287	PF05903	PTHR12378,PTHR12378:SF19	KOG0324				AT5G47310.1		PPPDE putative thiol peptidase family protein
16798258	27401.t000014	27401.m000288	27401.m000288	PF00293	PTHR13994,PTHR13994:SF9	KOG0648	3.6.1.22,3.6.1.13		GO:0016787	AT5G47240.1	atnudt8,NUDT8	nudix hydrolase homolog 8
16798259	27401.t000015	27401.m000289	27401.m000289	PF13456,PF13966						AT3G25270.1		Ribonuclease H-like superfamily protein
16798260	27401.t000016	27401.m000290	27401.m000290	PF00702,PF00690,PF00122	PTHR24093,PTHR24093:SF264		3.6.3.6	K01535	GO:0046872,GO:0000166	AT1G80660.1	AHA9,HA9	H(+)-ATPase 9
16798261	27401.t000017	27401.m000291	27401.m000291	PF00847	PTHR31677,PTHR31677:SF8			K09286	GO:0006355,GO:0003700	AT5G47230.1	ATERF-5,ATERF5,ERF5	ethylene responsive element binding factor 5
16798262	27403.t000001	27403.m000032	27403.m000032									
16798263	27404.t000001	27404.m000060	27404.m000060							AT3G15280.1		
16798264	27409.t000001	27409.m000028	27409.m000028									
16798265	27409.t000002	27409.m000029	27409.m000029	PF01965	PTHR11019,PTHR11019:SF58		4.2.1.103			AT3G14990.1		Class I glutamine amidotransferase-like superfamily protein
16798266	27410.t000001	27410.m000025	27410.m000025	PF11741,PF04351,PF04350	PTHR39555,PTHR39555:SF1							
16798267	27410.t000002	27410.m000026	27410.m000026	PF05137	PTHR40278,PTHR40278:SF1							
16798268	27420.t000001	27420.m000018	27420.m000018	PF02321	PTHR30203,PTHR30203:SF1			K15725	GO:0006810,GO:0005215			
16798269	27422.t000001	27422.m000029	27422.m000029	PF07690	PTHR23523				GO:0055085,GO:0016021			
16798270	27422.t000002	27422.m000030	27422.m000030	PF09084	PTHR31528				GO:0009228			
16798271	27423.t000001	27423.m000047	27423.m000047									
16798272	27423.t000002	27423.m000048	27423.m000048	PF12833,PF06719	PTHR11019,PTHR11019:SF134				GO:0043565,GO:0006355,GO:0003700			
16798273	27423.t000003	27423.m000049	27423.m000049	PF08240	PTHR11695,PTHR11695:SF582		1.1.1.2		GO:0055114,GO:0016491,GO:0008270	AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
16798274	27426.t000001	27426.m000047	27426.m000047	PF00006	PTHR15184,PTHR15184:SF9		3.6.3.14		GO:0005524,GO:0030257,GO:0030254,GO:0016887,GO:0009058,GO:0005737	AT5G08690.1		ATP synthase alpha/beta family protein
16798275	27426.t000002	27426.m000048	27426.m000048	PF02050	PTHR38786							
16798276	27426.t000003	27426.m000049	27426.m000049	PF02120	PTHR37533							
16798277	27426.t000004	27426.m000050	27426.m000050	PF03748,PF14283					GO:0071973,GO:0009425,GO:0006935			
16798278	27427.t000001	27427.m000018	27427.m000018	PF00873,PF02321	PTHR30203,PTHR30203:SF3				GO:0016020,GO:0006810,GO:0005215			
16798279	27428.t000001	27428.m000106	27428.m000106	PF00224,PF02887	PTHR11817,PTHR11817:SF33		2.7.1.40	K00873	GO:0030955,GO:0006096,GO:0004743,GO:0000287	AT3G52990.2		Pyruvate kinase family protein
16798280	27428.t000002	27428.m000107	27428.m000107	PF13847	PTHR12189		2.1.1.56	K00565		AT3G52210.3		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
16798281	27428.t000003	27428.m000108	27428.m000108		PTHR21496,PTHR21496:SF6					AT5G04520.1		Protein of unknown function DUF455
16798282	27428.t000004	27428.m000109	27428.m000109	PF04305	PTHR21496,PTHR21496:SF6					AT5G04520.1		Protein of unknown function DUF455
16798283	27428.t000005	27428.m000110	27428.m000110	PF00413	PTHR10201,PTHR10201:SF152		3.4.24.7		GO:0031012,GO:0008270,GO:0006508,GO:0004222	AT1G24140.1		Matrixin family protein
16798284	27428.t000006	27428.m000111	27428.m000111	PF01048	PTHR21234,PTHR21234:SF21		3.2.2.9		GO:0009116,GO:0003824	AT4G24350.1		Phosphorylase superfamily protein
16798285	27428.t000007	27428.m000112	27428.m000112	PF14531,PF14593	PTHR24356,PTHR24356:SF163		2.7.11.1	K06276		AT3G10540.1		3-phosphoinositide-dependent protein kinase
16798286	27431.t000001	27431.m000211	27431.m000211	PF00873	PTHR32063,PTHR32063:SF28				GO:0016020,GO:0006810,GO:0005215			
16798287	27431.t000002	27431.m000212	27431.m000212	PF16576	PTHR30469,PTHR30469:SF11							
16798288	27431.t000003	27431.m000213	27431.m000213	PF00593,PF07715,PF13610	PTHR32552,PTHR32552:SF33				GO:0016020,GO:0006810,GO:0004872			
16798289	27431.t000004	27431.m000214	27431.m000214									
16798290	27431.t000005	27431.m000215	27431.m000215	PF00126,PF03466	PTHR30537,PTHR30537:SF5				GO:0006355,GO:0003700			
16798291	27431.t000006	27431.m000216	27431.m000216	PF13561	PTHR24322	KOG0725	1.1.1.121			AT3G05260.1		NAD(P)-binding Rossmann-fold superfamily protein
16798292	27431.t000007	27431.m000217	27431.m000217	PF08659	PTHR24322	KOG0725				AT3G26760.1		NAD(P)-binding Rossmann-fold superfamily protein
16798293	27431.t000008	27431.m000218	27431.m000218	PF00589					GO:0015074,GO:0006310,GO:0003677			
16798294	27431.t000009	27431.m000219	27431.m000219	PF02195,PF07506	PTHR33375,PTHR33375:SF1							
16798295	27431.t000010	27431.m000220	27431.m000220									
16798296	27431.t000011	27431.m000221	27431.m000221									
16798297	27431.t000012	27431.m000222	27431.m000222									
16798298	27434.t000001	27434.m000046	27434.m000046	PF13519								
16798299	27434.t000002	27434.m000047	27434.m000047									
16798300	27434.t000003	27434.m000048	27434.m000048									
16798301	27434.t000004	27434.m000049	27434.m000049									
16798302	27436.t000001	27436.m000276	27436.m000276	PF00400	PTHR22842	KOG0316		K13124	GO:0005515	AT5G64730.1		Transducin/WD40 repeat-like superfamily protein
16798303	27436.t000002	27436.m000277	27436.m000277	PF05617	PTHR31181,PTHR31181:SF50					AT2G21750.1		Protein of unknown function (DUF1278)
16798304	27436.t000003	27436.m000278	27436.m000278	PF08787	PTHR33681,PTHR33681:SF4							
16798305	27436.t000004	27436.m000279	27436.m000279									
16798306	27436.t000005	27436.m000280	27436.m000280	PF05617	PTHR31181,PTHR31181:SF50					AT4G39340.1		Protein of unknown function (DUF1278)
16798307	27436.t000006	27436.m000281	27436.m000281									
16798308	27436.t000007	27436.m000282	27436.m000282									
16798309	27436.t000008	27436.m000283	27436.m000283							AT1G15190.1		Fasciclin-like arabinogalactan family protein
16798310	27436.t000009	27436.m000284	27436.m000284	PF00107,PF08240	PTHR11695,PTHR11695:SF567			K00083	GO:0055114,GO:0016491,GO:0008270	AT4G39330.1	ATCAD9,CAD9	cinnamyl alcohol dehydrogenase 9
16798311	27436.t000010	27436.m000285	27436.m000285	PF13676,PF00931	PTHR11017,PTHR11017:SF169	KOG4658			GO:0007165,GO:0005515,GO:0043531	AT5G36930.2		Disease resistance protein (TIR-NBS-LRR class) family
16798312	27436.t000011	27436.m000286	27436.m000286	PF01494	PTHR13789,PTHR13789:SF185		1.14.13.90		GO:0071949	AT4G38540.1		FAD/NAD(P)-binding oxidoreductase family protein
16798313	27436.t000012	27436.m000287	27436.m000287	PF01494	PTHR13789,PTHR13789:SF234	KOG2614			GO:0071949	AT5G05320.1		FAD/NAD(P)-binding oxidoreductase family protein
16798314	27436.t000013	27436.m000288	27436.m000288	PF01494	PTHR13789,PTHR13789:SF234	KOG2614			GO:0071949	AT4G38540.1		FAD/NAD(P)-binding oxidoreductase family protein
16798315	27436.t000014	27436.m000289	27436.m000289	PF01494	PTHR13789,PTHR13789:SF234	KOG2614			GO:0071949	AT5G05320.1		FAD/NAD(P)-binding oxidoreductase family protein
16798316	27436.t000015	27436.m000290	27436.m000290	PF01494	PTHR13789,PTHR13789:SF234	KOG2614	1.14.13.113		GO:0071949	AT5G05320.1		FAD/NAD(P)-binding oxidoreductase family protein
16798317	27436.t000016	27436.m000291	27436.m000291	PF08711	PTHR15141				GO:0006351,GO:0005634,GO:0003677	AT5G09850.1		Transcription elongation factor (TFIIS) family protein
16798318	27436.t000017	27436.m000292	27436.m000292	PF14418,PF12872,PF01936	PTHR14379,PTHR14379:SF6				GO:0010468,GO:0005777	AT5G09840.1		Putative endonuclease or glycosyl hydrolase
16798319	27436.t000018	27436.m000293	27436.m000293									
16798320	27438.t000001	27438.m000028	27438.m000028	PF00144	PTHR22935,PTHR22935:SF64		3.5.2.6					
16798321	27438.t000002	27438.m000029	27438.m000029	PF05569,PF00905	PTHR34978,PTHR34978:SF2		3.5.2.6		GO:0008658			
16798322	27440.t000001	27440.m000036	27440.m000036									
16798323	27440.t000002	27440.m000037	27440.m000037									
16798324	27442.t000001	27442.m000044	27442.m000044									
16798325	27442.t000002	27442.m000045	27442.m000045	PF02567	PTHR13774,PTHR13774:SF21		5.3.3.17		GO:0009058,GO:0003824	AT1G03210.1		Phenazine biosynthesis PhzC/PhzF protein
16798326	27442.t000003	27442.m000046	27442.m000046	PF00126,PF03466	PTHR30537,PTHR30537:SF20				GO:0006355,GO:0003700			
16798327	27444.t000001	27444.m000049	27444.m000049									
16798328	27444.t000002	27444.m000050	27444.m000050									
16798329	27444.t000003	27444.m000051	27444.m000051									
16798330	27444.t000004	27444.m000052	27444.m000052	PF11740								
16798331	27446.t000001	27446.m000471	27446.m000471	PF00432	PTHR11764,PTHR11764:SF18		5.4.99.41	K15813	GO:0003824	AT1G78950.1		Terpenoid cyclases family protein
16798332	27446.t000002	27446.m000472	27446.m000472	PF00432	PTHR11764,PTHR11764:SF18		5.4.99.39,5.4.99.41	K15813	GO:0003824	AT1G78950.1		Terpenoid cyclases family protein
16798333	27446.t000003	27446.m000473	27446.m000473	PF00312	PTHR23321,PTHR23321:SF26	KOG2815			GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT1G80620.1		S15/NS1, RNA-binding protein
16798334	27446.t000004	27446.m000474	27446.m000474		PTHR35099,PTHR35099:SF2					AT1G15800.1		
16798335	27446.t000005	27446.m000475	27446.m000475	PF00847	PTHR31677,PTHR31677:SF3				GO:0006355,GO:0003700	AT1G80580.1		Integrase-type DNA-binding superfamily protein
16798336	27446.t000006	27446.m000476	27446.m000476	PF00202	PTHR11986,PTHR11986:SF92		2.6.1.11	K00818	GO:0030170,GO:0008483	AT1G80600.1	WIN1	HOPW1-1-interacting 1
16798337	27446.t000007	27446.m000477	27446.m000477	PF00202	PTHR11986,PTHR11986:SF92		2.6.1.11	K00818	GO:0030170,GO:0008483	AT1G80600.1	WIN1	HOPW1-1-interacting 1
16798338	27446.t000008	27446.m000478	27446.m000478		PTHR24006	KOG1947		K10268		AT1G80570.1		RNI-like superfamily protein
16798339	27446.t000009	27446.m000479	27446.m000479		PTHR13806,PTHR13806:SF23	KOG2668		K07192		AT5G25260.1		SPFH/Band 7/PHB domain-containing membrane-associated protein family
16798340	27446.t000010	27446.m000480	27446.m000480		PTHR13806,PTHR13806:SF23			K07192		AT5G25250.1		SPFH/Band 7/PHB domain-containing membrane-associated protein family
16798341	27446.t000011	27446.m000481	27446.m000481	PF13639,PF02148,PF07576	PTHR24007			K10632	GO:0008270,GO:0005515	AT2G26000.2	BRIZ2	zinc finger (C3HC4-type RING finger) family protein
16798342	27446.t000012	27446.m000482	27446.m000482	PF00180	PTHR11835,PTHR11835:SF53		1.1.1.85	K00052	GO:0055114,GO:0016616,GO:0051287,GO:0000287	AT1G80560.1	ATIMD2,IMD2	isopropylmalate dehydrogenase 2
16798343	27446.t000013	27446.m000483	27446.m000483	PF12854,PF01535,PF13041	PTHR24015,PTHR24015:SF812					AT1G80550.1		Pentatricopeptide repeat (PPR) superfamily protein
16798344	27446.t000014	27446.m000484	27446.m000484	PF03140	PTHR31549,PTHR31549:SF23					AT3G02645.1		Plant protein of unknown function (DUF247)
16798345	27446.t000015	27446.m000485	27446.m000485	PF03140	PTHR31549,PTHR31549:SF23					AT3G02645.1		Plant protein of unknown function (DUF247)
16798346	27446.t000016	27446.m000486	27446.m000486		PTHR31414,PTHR31414:SF1					AT2G12400.1		
16798347	27446.t000017	27446.m000487	27446.m000487		PTHR31414,PTHR31414:SF9					AT2G12400.1		
16798348	27446.t000018	27446.m000488	27446.m000488									
16798349	27446.t000019	27446.m000489	27446.m000489		PTHR33132,PTHR33132:SF5					AT5G11090.1		serine-rich protein-related
16798350	27446.t000020	27446.m000490	27446.m000490	PF16987	PTHR33137,PTHR33137:SF4			K14972		AT1G15780.1		
16798351	27446.t000021	27446.m000491	27446.m000491	PF00316	PTHR11556,PTHR11556:SF17		3.1.3.11	K03841	GO:0042578,GO:0042132,GO:0005975	AT1G43670.1		Inositol monophosphatase family protein
16798352	27446.t000022	27446.m000492	27446.m000492	PF00141	PTHR31235		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT4G11290.1		Peroxidase superfamily protein
16798353	27446.t000023	27446.m000493	27446.m000493	PF00141	PTHR31235		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT3G03670.1		Peroxidase superfamily protein
16798354	27446.t000024	27446.m000494	27446.m000494	PF00141	PTHR31235		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT1G05260.1	RCI3,RCI3A	Peroxidase superfamily protein
16798355	27446.t000025	27446.m000495	27446.m000495		PTHR33132,PTHR33132:SF12					AT5G11090.1		serine-rich protein-related
16798356	27446.t000026	27446.m000496	27446.m000496	PF06813	PTHR21576,PTHR21576:SF41					AT1G80530.1		Major facilitator superfamily protein
16798357	27446.t000027	27446.m000497	27446.m000497	PF07647	PTHR33915				GO:0005515	AT1G15760.1		Sterile alpha motif (SAM) domain-containing protein
16798358	27446.t000028	27446.m000498	27446.m000498	PF12854,PF01535,PF13041	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
16798359	27446.t000029	27446.m000499	27446.m000499	PF03222	PTHR22950,PTHR22950:SF237	KOG1305			GO:0003333	AT1G80510.1		Transmembrane amino acid transporter family protein
16798360	27446.t000030	27446.m000500	27446.m000500									
16798361	27446.t000031	27446.m000501	27446.m000501									
16798362	27446.t000032	27446.m000502	27446.m000502									
16798363	27448.t000001	27448.m000066	27448.m000066	PF14222	PTHR12295					AT5G15680.1		ARM repeat superfamily protein
16798364	27448.t000002	27448.m000067	27448.m000067	PF14222,PF14225,PF14228	PTHR12295					AT5G15680.1		ARM repeat superfamily protein
16798365	27448.t000003	27448.m000068	27448.m000068	PF03222	PTHR22950,PTHR22950:SF237	KOG1305		K14207	GO:0003333	AT3G30390.2		Transmembrane amino acid transporter family protein
16798366	27451.t000001	27451.m000239	27451.m000239	PF01263	PTHR10091,PTHR10091:SF8	KOG1604	5.1.3.3	K01785	GO:0016853,GO:0005975	AT3G17940.1		Galactose mutarotase-like superfamily protein
16798367	27451.t000002	27451.m000240	27451.m000240									
16798368	27451.t000003	27451.m000241	27451.m000241	PF04576	PTHR31448,PTHR31448:SF3					AT1G70750.1		Protein of unknown function, DUF593
16798369	27451.t000004	27451.m000242	27451.m000242		PTHR31448,PTHR31448:SF3					AT5G16720.1		Protein of unknown function, DUF593
16798370	27451.t000005	27451.m000243	27451.m000243		PTHR36725					AT1G66330.1		senescence-associated family protein
